"period","respondent","respondent-name","fueltype","type-name","value","value-units"
"2026-09-11T07","CISO","California Independent System Operator","GEO","Geothermal","745","megawatthours"
"2026-09-11T07","CISO","California Independent System Operator","SUN","Solar","-58","megawatthours"
"2026-09-11T07","CISO","California Independent System Operator","WAT","Hydro","3076","megawatthours"
"2026-09-11T07","CISO","California Independent System Operator","WND","Wind","6460","megawatthours"
"2026-09-11T06","CISO","California Independent System Operator","GEO","Geothermal","711","megawatthours"
"2026-09-11T06","CISO","California Independent System Operator","SUN","Solar","-45","megawatthours"
"2026-09-11T06","CISO","California Independent System Operator","WAT","Hydro","3553","megawatthours"
"2026-09-11T06","CISO","California Independent System Operator","WND","Wind","6186","megawatthours"
"2026-09-11T05","CISO","California Independent System Operator","GEO","Geothermal","727","megawatthours"
"2026-09-11T05","CISO","California Independent System Operator","SUN","Solar","-30","megawatthours"
"2026-09-11T05","CISO","California Independent System Operator","WAT","Hydro","3912","megawatthours"
"2026-09-11T05","CISO","California Independent System Operator","WND","Wind","5420","megawatthours"
"2026-09-11T04","CISO","California Independent System Operator","GEO","Geothermal","733","megawatthours"
"2026-09-11T04","CISO","California Independent System Operator","SUN","Solar","-37","megawatthours"
"2026-09-11T04","CISO","California Independent System Operator","WAT","Hydro","4150","megawatthours"
"2026-09-11T04","CISO","California Independent System Operator","WND","Wind","4818","megawatthours"
"2026-09-11T03","CISO","California Independent System Operator","GEO","Geothermal","797","megawatthours"
"2026-09-11T03","CISO","California Independent System Operator","SUN","Solar","-13","megawatthours"
"2026-09-11T03","CISO","California Independent System Operator","WAT","Hydro","4015","megawatthours"
"2026-09-11T03","CISO","California Independent System Operator","WND","Wind","4815","megawatthours"
"2026-09-11T02","CISO","California Independent System Operator","GEO","Geothermal","789","megawatthours"
"2026-09-11T02","CISO","California Independent System Operator","SUN","Solar","2537","megawatthours"
"2026-09-11T02","CISO","California Independent System Operator","WAT","Hydro","3885","megawatthours"
"2026-09-11T02","CISO","California Independent System Operator","WND","Wind","4982","megawatthours"
