"period","stateid","stateDescription","sectorid","sectorName","customers","price","revenue","sales","customers-units","price-units","revenue-units","sales-units"
"2026-06","MA","Massachusetts","COM","commercial","436083","24.52","502.82799","2050.31641","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MA","Massachusetts","IND","industrial","9628","18.97","107.58986","567.25821","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MA","Massachusetts","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MA","Massachusetts","RES","residential","3005341","29.61","512.51667","1731.09143","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MA","Massachusetts","TRA","transportation","2","8.68","2.27227","26.18954","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MAT","Middle Atlantic","ALL","all sectors","19364797","20.05","6124.9402","30541.61082","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MAT","Middle Atlantic","COM","commercial","2453156","19.51","2449.12448","12550.42911","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MAT","Middle Atlantic","IND","industrial","38706","10.57","618.61507","5850.66132","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MAT","Middle Atlantic","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MAT","Middle Atlantic","RES","residential","16872917","25.43","3008.82879","11831.69893","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MAT","Middle Atlantic","TRA","transportation","18","15.66","48.37186","308.82147","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MD","Maryland","ALL","all sectors","2757560","18.84","976.17161","5181.71441","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MD","Maryland","COM","commercial","262995","16.84","428.88163","2546.41889","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MD","Maryland","IND","industrial","9414","13.51","41.25613","305.44782","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MD","Maryland","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MD","Maryland","RES","residential","2485146","21.84","499.9687","2289.30362","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-06","MD","Maryland","TRA","transportation","5","14.96","6.06516","40.54409","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
