"period","stateid","stateDescription","sectorid","sectorName","customers","price","revenue","sales","customers-units","price-units","revenue-units","sales-units"
"2026-Q2","MS","Mississippi","RES","residential","1360511","15.79","661.21004","4188.05553","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MS","Mississippi","TRA","transportation","0",NA,"0","0","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MT","Montana","ALL","all sectors","728559","11.63","411.1113","3535.2911","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MT","Montana","COM","commercial","143177","13.12","161.63259","1231.59539","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MT","Montana","IND","industrial","12635","6.55","70.09763","1069.87869","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MT","Montana","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MT","Montana","RES","residential","572748","14.54","179.38107","1233.81702","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MT","Montana","TRA","transportation","0",NA,"0","0","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MTN","Mountain","ALL","all sectors","12740976","11.58","9414.25428","81267.71622","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MTN","Mountain","COM","commercial","1561885","11.46","3467.82322","30268.40519","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MTN","Mountain","IND","industrial","100897","7.88","1833.34319","23270.42416","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MTN","Mountain","OTH","other",NA,NA,NA,NA,"number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MTN","Mountain","RES","residential","11078189","14.84","4108.8012","27690.29465","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","MTN","Mountain","TRA","transportation","5","11.11","4.28666","38.59223","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","NC","North Carolina","ALL","all sectors","6003768","12","4032.33106","33616.71678","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","NC","North Carolina","COM","commercial","758420","10.45","1329.37678","12721.58475","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
"2026-Q2","NC","North Carolina","IND","industrial","8578","7.8","507.91325","6514.67559","number of customers","cents per kilowatt-hour","million dollars","million kilowatt hours"
