"period","subba","subba-name","parent","parent-name","value","value-units"
"2026-09-18T03","LAC","Los Alamos County","PNM","Public Service Company of New Mexico","70","megawatthours"
"2026-09-18T03","PNM","PNM System Firm Load","PNM","Public Service Company of New Mexico","1540","megawatthours"
"2026-09-18T03","TSGT","Tri-State Generation and Transmission","PNM","Public Service Company of New Mexico","298","megawatthours"
"2026-09-18T03","CSWS","AEPW American Electric Power West","SWPP","Southwest Power Pool","7902","megawatthours"
"2026-09-18T03","EDE","Empire District Electric Company","SWPP","Southwest Power Pool","958","megawatthours"
"2026-09-18T03","GRDA","Grand River Dam Authority","SWPP","Southwest Power Pool","1453","megawatthours"
"2026-09-18T03","INDN","Independence Power & Light","SWPP","Southwest Power Pool","200","megawatthours"
"2026-09-18T03","KACY","Kansas City Board of Public Utilities","SWPP","Southwest Power Pool","389","megawatthours"
"2026-09-18T03","KCPL","Kansas City Power & Light","SWPP","Southwest Power Pool","3090","megawatthours"
"2026-09-18T03","LES","Lincoln Electric System","SWPP","Southwest Power Pool","592","megawatthours"
"2026-09-18T03","MPS","KCP&L Greater Missouri Operations","SWPP","Southwest Power Pool","1638","megawatthours"
"2026-09-18T03","NPPD","Nebraska Public Power District","SWPP","Southwest Power Pool","2199","megawatthours"
"2026-09-18T03","OKGE","Oklahoma Gas and Electric Co.","SWPP","Southwest Power Pool","6047","megawatthours"
"2026-09-18T03","OPPD","Omaha Public Power District","SWPP","Southwest Power Pool","2349","megawatthours"
"2026-09-18T03","SECI","Sunflower Electric","SWPP","Southwest Power Pool","912","megawatthours"
"2026-09-18T03","SPRM","City of Springfield","SWPP","Southwest Power Pool","607","megawatthours"
"2026-09-18T03","SPS","Southwestern Public Service Company","SWPP","Southwest Power Pool","4939","megawatthours"
"2026-09-18T03","WAUE","Western Area Power Upper Great Plains East","SWPP","Southwest Power Pool","4069","megawatthours"
"2026-09-18T03","WFEC","Western Farmers Electric Cooperative","SWPP","Southwest Power Pool","1435","megawatthours"
"2026-09-18T03","WR","Westar Energy","SWPP","Southwest Power Pool","5327","megawatthours"
"2026-09-18T03","PRPA","Platte River Power Authority - PRPA","SWPW","Southwest Power Pool West Balancing Authority Area","454","megawatthours"
"2026-09-18T03","WACM","Western Area Power Administration - Colorado Missouri Region - WACM","SWPW","Southwest Power Pool West Balancing Authority Area","2680","megawatthours"
"2026-09-18T03","WAUW","Western Area Power Administration - Upper Great Plains West - WAUW","SWPW","Southwest Power Pool West Balancing Authority Area","61","megawatthours"
"2026-09-18T02","BASI","Basin Electric Power Cooperative","BHBA","Black Hills Energy","185","megawatthours"
"2026-09-18T02","SDE","Black Hills Energy South Dakota Electric","BHBA","Black Hills Energy","299","megawatthours"
"2026-09-18T02","WYE","Black Hills Energy Wyoming Electric","BHBA","Black Hills Energy","390","megawatthours"
"2026-09-18T02","PGAE","Pacific Gas and Electric","CISO","California Independent System Operator","12886","megawatthours"
"2026-09-18T02","SCE","Southern California Edison","CISO","California Independent System Operator","14962","megawatthours"
"2026-09-18T02","SDGE","San Diego Gas and Electric","CISO","California Independent System Operator","3138","megawatthours"
"2026-09-18T02","VEA","Valley Electric Association","CISO","California Independent System Operator","97","megawatthours"
"2026-09-18T02","0001","Zone 1","MISO","Midcontinent Independent System Operator, Inc.","11494","megawatthours"
"2026-09-18T02","0004","Zone 4","MISO","Midcontinent Independent System Operator, Inc.","7430","megawatthours"
"2026-09-18T02","0006","Zone 6","MISO","Midcontinent Independent System Operator, Inc.","13855","megawatthours"
"2026-09-18T02","0027","Zones 2 and 7","MISO","Midcontinent Independent System Operator, Inc.","18935","megawatthours"
"2026-09-18T02","0035","Zones 3 and 5","MISO","Midcontinent Independent System Operator, Inc.","13494","megawatthours"
"2026-09-18T02","8910","Zones 8, 9, and 10","MISO","Midcontinent Independent System Operator, Inc.","26814","megawatthours"
"2026-09-18T02","ZONA","West","NYIS","New York Independent System Operator","1838","megawatthours"
"2026-09-18T02","ZONB","Genesee","NYIS","New York Independent System Operator","1258","megawatthours"
"2026-09-18T02","ZONC","Central","NYIS","New York Independent System Operator","1917","megawatthours"
"2026-09-18T02","ZOND","North","NYIS","New York Independent System Operator","505","megawatthours"
"2026-09-18T02","ZONE","Mohawk Valley","NYIS","New York Independent System Operator","901","megawatthours"
"2026-09-18T02","ZONF","Capital","NYIS","New York Independent System Operator","1460","megawatthours"
